,tail_number,origin,destination,departure_time,arrival_time
1,T1,AUS1,DAL1,0600,0650
2,T2,DAL1,AUS1,0600,0650
3,T3,DAL2,HUS1,0600,0705
4,T4,HUS1,DAL2,0600,0705
5,T5,HUS2,DAL1,0616,0721
6,T6,HUS3,DAL2,0631,0736
7,T2,AUS1,HUS2,0715,0800
8,T1,DAL1,HUS3,0720,0825
9,T4,DAL2,HUS2,0735,0840
10,T3,HUS1,AUS1,0740,0825
11,T5,DAL1,HUS1,0751,0856
12,T6,DAL2,HUS3,0806,0911
13,T2,HUS2,AUS1,0835,0920
14,T3,AUS1,HUS1,0850,0935
15,T1,HUS3,DAL2,0900,1005
16,T4,HUS2,DAL1,0915,1020
17,T5,HUS1,DAL2,0931,1036
18,T2,AUS1,HUS3,0945,1030
19,T6,HUS3,DAL1,0946,1051
20,T3,HUS1,AUS1,1010,1055
21,T1,DAL2,HUS2,1035,1140
22,T4,DAL1,HUS3,1050,1155
23,T2,HUS3,AUS1,1105,1150
24,T5,DAL2,HUS1,1106,1211
25,T3,AUS1,DAL1,1120,1210
26,T6,DAL1,HUS2,1121,1226
27,T1,HUS2,DAL2,1215,1320
28,T2,AUS1,HUS1,1215,1300
29,T4,HUS3,DAL1,1230,1335
30,T3,DAL1,HUS2,1240,1345
31,T5,HUS1,DAL2,1246,1351
32,T6,HUS2,AUS1,1301,1346
33,T2,HUS1,AUS1,1335,1420
34,T1,DAL2,HUS3,1350,1455
35,T4,DAL1,HUS2,1405,1510
36,T6,AUS1,HUS1,1411,1456
37,T3,HUS2,DAL2,1420,1525
38,T5,DAL2,AUS1,1421,1511
39,T2,AUS1,DAL1,1445,1535
40,T1,HUS3,DAL1,1530,1635
41,T6,HUS1,DAL2,1531,1636
42,T5,AUS1,HUS3,1536,1621
43,T4,HUS2,AUS1,1545,1630
44,T3,DAL2,HUS3,1555,1700
45,T2,DAL1,HUS1,1605,1710
46,T4,AUS1,HUS2,1655,1740
47,T5,HUS3,DAL2,1656,1801
48,T1,DAL1,HUS1,1705,1810
49,T6,DAL2,HUS3,1706,1811
50,T3,HUS3,DAL1,1735,1840
51,T2,HUS1,DAL2,1745,1850
52,T4,HUS2,DAL1,1815,1920
53,T5,DAL2,HUS2,1831,1936
54,T1,HUS1,AUS1,1845,1930
55,T6,HUS3,DAL1,1846,1951
56,T3,DAL1,HUS2,1910,2015
57,T2,DAL2,HUS3,1920,2025
58,T4,DAL1,HUS1,1950,2055
59,T1,AUS1,DAL2,1955,2045
60,T5,HUS2,AUS1,2011,2056
